model,target,R2_cv_mean,R2_cv_std,MAE_cv_mean,MAE_cv_std
linear,E1_Es,0.34261829860272286,0.03169822313769859,0.02819096832334771,0.0008120715469905322
ridge,E1_Es,0.3366757839710403,0.03218352234810695,0.02789925021425871,0.0010292225419598552
random_forest,E1_Es,0.9655625735924825,0.008517456567788158,0.0028649163055507907,0.00042749663609382185
gradient_boosting,E1_Es,0.9771636610875472,0.005550637864870535,0.003350887724178849,0.0002585919736043514
linear,E2_Es,0.5718095655270655,0.0256909063649345,0.0026856717901903283,0.00018517644833952068
ridge,E2_Es,0.564063381591712,0.02218738113253848,0.0027145594093619025,0.0001861944808696914
random_forest,E2_Es,0.9700687441431018,0.011181591381213423,0.00033800989376942745,8.450524053698495e-05
gradient_boosting,E2_Es,0.980759589495557,0.005258699447982481,0.00039897693664320597,4.4824110147546665e-05
linear,nu12,0.7551076055431691,0.004951758517058296,1.0577650635063853,0.02901621129147728
ridge,nu12,0.7533130281412498,0.0066916416050646545,1.0553288010573207,0.02987945447785664
random_forest,nu12,0.9954784368274712,0.0016989701899314453,0.06950717149733546,0.011824537549993
gradient_boosting,nu12,0.9957397840591907,0.0009015620101495648,0.09966129987249817,0.00588597092970891
linear,nu21,0.6348248710557454,0.016856995349022717,0.5620262781432361,0.03335023847489849
ridge,nu21,0.6346210964211079,0.016273860380759685,0.5610054380911895,0.033669473604060064
random_forest,nu21,0.9907113090756898,0.004052284140550975,0.03292459823507618,0.006202576837060577
gradient_boosting,nu21,0.9932223711055836,0.0016611567881502204,0.046361888079472995,0.004211957859521333
