model,target,MAE,RMSE,R2
linear,E1_Es,0.027395985600992743,0.04722407519965425,0.3466013759490447
linear,E2_Es,0.0027286669727346565,0.004279157012900734,0.5819933181170269
linear,nu12,1.0336678189115616,1.321548654877686,0.7585178059085089
linear,nu21,0.5635728652671395,0.8666032986522084,0.6576573395648004
ridge,E1_Es,0.02750144197323939,0.04773833071613621,0.33229327616375715
ridge,E2_Es,0.00275856839505524,0.004349656437520612,0.5681064780995342
ridge,nu12,1.0150864498196646,1.3138678686606347,0.761316617997423
ridge,nu21,0.5624077215090223,0.8662109995251629,0.6579672168270327
random_forest,E1_Es,0.002165703977519023,0.006788829624519773,0.9864966628521187
random_forest,E2_Es,0.00037103027015121737,0.001090700267867585,0.9728432609331745
random_forest,nu12,0.07044894667715912,0.20071712683646517,0.9944295835782728
random_forest,nu21,0.03454438724878657,0.12645816594848058,0.9927102253442618
gradient_boosting,E1_Es,0.003021145816572369,0.006315648348038859,0.9883134270743573
gradient_boosting,E2_Es,0.00039451487614701355,0.0008033190539421402,0.9852686375135411
gradient_boosting,nu12,0.10133929557857202,0.18826394628738852,0.9950993564514258
gradient_boosting,nu21,0.04995227244725207,0.11166568452493124,0.9943159248541351
