model,target,R2_mean,R2_std,MAE_mean,MAE_std
linear,tension_strength,0.2351874090460866,0.34116684416051707,5.723470367090041,1.6334891756459022
ridge,tension_strength,0.11264760743793009,0.36275097232527603,6.658577937279179,1.3639746817276726
random_forest,tension_strength,0.5768658736746108,0.0987433065852721,4.530186813186813,0.5940393923259984
gradient_boosting,tension_strength,0.587681565818351,0.18143512314562793,3.9608837313141207,0.8110325242495097
linear,elongation,0.32424029504148993,0.35732157940687426,0.42019278516222675,0.04263645732485424
ridge,elongation,0.14277716958521758,0.23400585019944062,0.49599313299642417,0.05747681287666179
random_forest,elongation,0.5602693567814885,0.12605605702681016,0.33075000000000004,0.04790302941106466
gradient_boosting,elongation,0.49161286941516524,0.12157078776618804,0.36774644096356746,0.05438563451273466
linear,roughness,0.518534594417356,0.21373991025500702,49.754129713449046,5.753873965523193
ridge,roughness,0.01988329301803471,0.14592420454507696,77.72192708389166,11.21628096651833
random_forest,roughness,0.8575204521634632,0.049000556959781526,25.588472527472526,4.262166224494737
gradient_boosting,roughness,0.9066050954080989,0.025806367966235717,21.02708412699199,1.614954419811112
